,Company_name,Description,Price
439,Rolex,Rolex Day-Date II (Reference 218235). A rose gold automatic wristwatch with date and day. 2011,"45,500 USD"
440,Rolex,Rolex Day-Date (Reference 128345). An unworn rose gold diamond-set automatic wristwatch with day and date. 2022,"67,300 USD"
441,Rolex,Rolex Day-Date (Reference 118366). A platinum diamond-set automatic wristwatch with day and date. 2001-2002,"70,300 USD"
442,Rolex,Rolex Day-Date (Reference 228236). An unworn platinum blue-dial automatic wristwatch with day and date. 2023,"79,100 USD"
443,Rolex,Rolex Day-Date II (Reference 218206). A platinum diamond-set automatic wristwatch with day and date. 2012,"84,600 USD"
444,Rolex,Rolex Daytona Black Dial (Reference 116500). A stainless steel automatic wristwatch with chronograph. 2016,"28,000 USD"
445,Rolex,Rolex Submariner (Reference 116618). A yellow gold automatic wristwatch with date. 2019,"40,100 USD"
446,Rolex,Rolex Submariner (Reference 116618). A yellow gold automatic wristwatch with date. ,"39,100 USD"
447,,,
448,Rolex,"Daytona Reference 116520, a stainless steel automatic wristwatch with chronograph, circa 1995","23,530 USD"
449,Rolex,"Daytona Reference 116520, a stainless steel automatic wristwatch with chronograph, circa 2009","23,530 USD"
450,Patek Philippe,"Complications Reference 5180/1R-001, a rose gold automatic wristwatch with skeleton movement with hand-engraved decoration, circa 2023","98,000 USD"
451,Rolex,"GMT-Master Reference 6542, a stainless steel automatic wristwatch with date, circa 1959","36,115 USD"
452,Patek Philippe,"Grand Complications Reference 5159R, a rose gold automatic wristwatch with retrograde date, moon phases, perpetual calendar and leap year indication, circa 2022","72,225 USD"
453,Patek Philippe,"Complications Reference 5147G-001, a white gold automatic wristwatch with date, day, month, moonphase and annual calendar, circa 2022","55,000 USD"
454,Chanel,"Chanel J12, a diamond and ceramic stainless steel automatic wristwatch","28,000 USD"
455,Rolex,"Sea-Dweller Reference 16600, a stainless steel automatic wristwatch with date, circa 1993","8,000 USD"
456,Rolex,"Air-King Reference 116900, a stainless steel automatic wristwatch with bracelet, circa 2022","7,500 USD"
457,Rolex,"Sea-Dweller Reference 1665, a stainless steel automatic wristwatch with date, Circa 1981","16,000 USD"
458,Cartier,"Roadster Reference W62048V3, a stainless steel automatic wristwatch with date","6,250 USD"
459,Cartier,"Rotonde de Cartier Reference W1555951, a rose gold automatic wristwatch with central chronograph ","18,000 USD"
460,Cartier,"Limited Edition Santos 100 XL Reference 2858, a stainless steel automatic wristwatch","6,875 USD"
461,Rolex,"Datejust Reference 178274, a stainless steel automatic wristwatch with date, Circa 2017","7,280 USD"
462,Hermès,"Slim d' Hermès Squelette Lune Reference CA6.841, a white gold and titanium wristwatch, circa 2021","14,600 USD"
463,Pequignet,"Rue Royal Reference 9010943ACN, a stainless steel automatic wristwatch with day, date, power reserve, moonphase and GMT","5,000 USD"
464,Audemars Piguet,Royal Oak Reference 25594BA,"51,120 USD"
465,Patek Philippe,"Reference 5036/1G, a white gold automatic annual calendar wristwatch with white ceramic dial, moon phases and bracelet, Circa 2000","32,000 USD"
466,Rolex,"Submariner Reference 116613, a yellow gold and stainless steel automatic wristwatch with date, circa 2007","13,900 USD"
467,Rolex,"Daytona Reference 116503, a yellow gold and stainless steel automatic wristwatch with chronograph, circa 2000s","28,900 USD"
468,Rolex,"Yacht-Master Reference 16622, a platinum and stainless steel automatic wristwatch with date, circa 2002","10,225 USD"
469,Rolex,"Air-King Reference 116900, a stainless steel automatic wristwatch, circa 2017","10,560 USD"
470,Rolex,"Submariner Reference 16613, a yellow gold and stainless steel automatic wristwatch with date, circa 1999","12,780 USD"
471,,,
472,Rolex,"Yacht-Master Reference 16623, a yellow gold and stainless steel automatic wristwatch with date, Circa 2005","12,225 USD"
473,Glashütte Original,"Senator Reference 100-02-03-02-04, circa 2006","11,480 USD"
474,Rolex,"GMT Master Reference 1675, a stainless steel automatic wristwatch with date with a GMT, circa 1972","16,470 USD"
475,Chopard,"Historique Monaco Reference 161275-5001, circa 2010","12,000 USD"
476,Chopard,"Happy Diamonds Reference 2106, a yellow gold manual wind wristwatch with Onyx dial and 30 floating diamonds weighing approximately 1.20 carats","9,000 USD"
477,Van Cleef & Arpels,"Classique, a yellow gold quartz wristwatch","15,500 USD"
478,OMEGA,Speedmaster Reference 3591.50.00,"9,390 USD"
479,Bvlgari,"Catene Reference BBCP31G, a rose gold quartz wristwatch with bracelet","27,780 USD"
480,Girard-Perregaux,"Tourbillon Magistral Reference 99710-52-131-BAEA, a rose gold manual wind wristwatch with date and power reserve","58,900 USD"
481,Roger Dubuis,"Limited Edition Too Much, a rose gold quartz wristwatch","8,245 USD"
482,OMEGA,"Speedmaster Reference 311.92.44.30.01.001, circa 2020","11,380 USD"
483,Rolex,"Datejust Reference 179178, a yellow gold automatic wristwatch with date, Circa 2007","15,000 USD"
484,Chopard,"Happy Sport Reference 277473-5001, a rose gold quartz wristwatch with date, Circa 2023","12,500 USD"
485,Franck Muller ,"Limited Edition Quantieme ""Esprit Unique,"" a titanium and steel with carbon fiber automatic wristwatch with date, day, month and moonphase","13,890 USD"
486,Cartier,"Tank Must Reference WSTA0054, a stainless steel quartz wristwatch with strap, Circa 2021","5,000 USD"
487,Omega,"De Ville Ladymatic Reference 425.63.34.20.63.001, a rose gold automatic wristwatch with date, Circa 2015","9,925 USD"
488,Chopard,Happy Sport Reference 278559-6021,"9,290 USD"
489,Panerai,"Luminor 1950 Reference OP7015 PAM00317, circa 2010","17,640 USD"
490,Chopard,"Les Classiques Reference 10/7045/8-28, a white gold quartz wristwatch with diamonds ","8,000 USD"
491,Montega,Montega White Gold and Diamond Quartz Wristwatch,"13,335 USD"
492,Piaget,"Altiplano Ultra Thin, a yellow gold manual wind wristwatch","7,500 USD"
493,Rolex,"Special Edition Vintage Oyster ""Extra Precision"" Double Signed ""Mappin,"" a yellow gold manual wind wristwatch, Circa 1930s","7,225 USD"
494,Rolex,"Vintage, a yellow gold manual wind wristwatch. 1950s","9,450 USD"
495,Patek Philippe,"Grand Complication Reference 5140J-001, a yellow gold automatic wristwatch with perpetual calendar ","70,560 USD"
496,"Jaeger-LeCoultre, Faraone","A manual wind gold and diamond wrap around wristwatch with 1.00ct of diamonds, Circa 1980s ","38,590 USD"
497,Cartier,"Perles de Cartier Reference WJ304850, a white gold quartz wristwatch with strap","31,115 USD"
498,Graff,"Graff White Gold, Diamond, Pink Sapphire Harmony Wristwatch","17,000 USD"
499,Rolex,"Datejust Reference 116333, a yellow gold and stainless steel automatic wristwatch with date, Circa 2010","12,000 USD"
500,Rolex,"GMT-Master II Reference 116710, a stainless steel automatic wristwatch with date","16,670 USD"
501,Rolex,"Datejust II Reference 116333, a yellow gold and stainless steel automatic wristwatch with date","13,900 USD"
502,Rolex,"Yacht-Master Reference 16622, a platinum and stainless steel automatic wristwatch with date, Circa 2007","12,230 USD"
503,Franck Muller ,"Cintrée Curvex Diamond Ladies Reference 1752QZD, a white gold quartz wristwatch","16,945 USD"
504,Franck Muller ,"Limited Edition Evos 8 Yellow Cobra Esprit Unique, a ceramic automatic wristwatch with date and chronograph","13,900 USD"
505,Rolex,"Sea-Dweller Reference 116660, a stainless steel automatic wristwatch with date, Circa 2010's","10,700 USD"
506,Rolex,"Datejust Reference 126334, a stainless steel automatic wristwatch with date, Circa 2010's","10,940 USD"
507,Greubel Forsey,"Technique 30 Degree Double, a black PVD manual wind wristwatch with tourbillon","305,560 USD"
508,Rolex,"""Big Red"" Daytona Reference 6265, a stainless steel automatic wristwatch with date, Circa 1976","83,350 USD"
509,Audemars Piguet,"Royal Oak Carbon Concept ""CCW1"" Openworked Reference 26265FO.OO.D002CR.01, a carbon manual wind wristwatch with power reserve","216,670 USD"
510,Tudor,"Black Bay Reference M79363N, a yellow gold and stainless steel automatic wristwatch with date and chronograph","6,280 USD"
511,Cartier,"Pasha de Cartier Reference 2358, a white gold automatic wristwatch ","18,340 USD"
512,,,
513,Patek Philippe,"World Time Reference 5131J/001, a yellow gold automatic wristwatch, Circa 2010","130,560 USD"
514,,,
515,,,
516,Audemars Piguet,"Royal Oak Offshore Reference 25721ST.OO.1000ST.08, a stainless steel automatic wristwatch with date and chronograph, Circa 2001","19,225 USD"
517,WOLF,Viceroy 6-Piece Winder,"3,415 USD"
518,WOLF,Viceroy 10-Pc Watch Box,465 USD
519,WOLF,Roadster Single Winder with Storage,745 USD
520,WOLF,Roadster Double Winder with Storage,"1,380 USD"
521,OMEGA,Speedmaster Reference ST345-0808,"7,620 USD"
522,Audemars Piguet,Royal Oak Offshore Reference 26400SO.OO.A054CA.01,"46,850 USD"
523,Girard-Perregaux,"1966 Reference 49535-53-152-BK6A, circa 2022","14,510 USD"
524,Piaget,Limelight Reference G0A40198,"26,400 USD"
525,Audemars Piguet,"Royal Oak Offshore Reference 26400SO.OO.A054CA.01, circa 2018","46,950 USD"
526,OMEGA,"Speedmaster Reference 311.98.44.51.51.001, circa 2016","16,490 USD"
527,Ulysse Nardin,Freak Watch Reference 2050-131,"61,115 USD"
528,Audemars Piguet,"Millenary Tradition d'Excellence Cabinet Reference 26066PT.OO.D028CR.01, a platinum manual wind wristwatch with day, date and power reserve","138,900 USD"
529,Audemars Piguet,Millenary Escape Deadbeat Reference 26091OR.OO.D803CR.01 ,"85,560 USD"
530,Audemars Piguet,Millenary Star Wheel Reference 258985T,"42,225 USD"
531,Franck Muller ,Conquistador Grand Prix Reference 9900 TGP,"36,670 USD"
532,Cartier,Santos de Cartier 100  Reference W2020018,"28,900 USD"
533,WOLF,British Racing 6-Piece Watch Winder In Green,"3,670 USD"
534,WOLF,Axis Single Watch Winder,700 USD
535,WOLF,British Racing 8 Piece Watch Winder In Green,"4,725 USD"
536,WOLF,British Racing Single Watch Winder In Black,800 USD
537,WOLF,Axis 6 Piece Winder In Copper,"3,415 USD"
538,WOLF,Axis 4-Piece Winder With Powder Coat,"2,370 USD"
539,WOLF,Axis Double Winder with Storage In Powder Coat,"1,380 USD"
540,Piaget,Altiplano Reference G0A40105,"18,680 USD"
541,Chopard,"L.U.C. Reference 161964-5001, circa 2013","20,660 USD"
542,Piaget,Dancer & Traditional Reference G0A38052,"23,370 USD"
543,Girard-Perregaux,"Laureato Reference 8010, circa 2000","19,310 USD"
544,Chopard,"L.U.C. Reference 168575-9001, circa 2018","13,050 USD"
545,Panerai,"Luminor 1950 Reference OP6817 PAM00329, circa 2012","7,310 USD"
546,Blancpain,Ladybird Reference 3626-2954-58A,"22,850 USD"
547,CARL F. BUCHERER,Patravi Reference 00.10632.22.33.01,"14,920 USD"
548,Chopard,"Happy Sport Reference 274891-1008, circa 2014","34,750 USD"
549,Chopard,"Xtravaganza Reference 104236-1001, circa 2012","26,610 USD"
550,OMEGA,Seamaster Reference 233.20.41.21.01.001,"10,330 USD"
551,OMEGA,Speedmaster Reference 311.93.44.51.03.001,"8,350 USD"
552,IWC,"Pilot Reference IW388003, circa 2013","14,400 USD"
553,IWC,"Pilot Reference IW325405, circa 2008","22,000 USD"
554,Chopard,"Classic Reference 173154-1211, circa 2016","10,330 USD"
555,Chopard,"IMPERIALE Reference 384242-1006, circa 2015","27,440 USD"
556,Chopard,"La Strada Reference 419398-1001, circa 2013","20,870 USD"
557,Roger Dubuis,Velvet Reference RDDBVE0042,"26,710 USD"
558,Blancpain,Villeret Reference 6668-3642-55A,"24,210 USD"
559,Chopard,"L.U.C. Reference 161940-5001, circa 2013","89,200 USD"
560,Roger Dubuis,Velvet Reference RDDBVE0079,"25,600 USD"
561,Piaget,Tradition Reference G0A42048,"21,500 USD"
562,CARL F. BUCHERER,Pathos Reference 00.10580.03.73.31.02,"17,640 USD"
563,Rolex,"Sky-Dweller Reference 326933, a yellow gold and stainless steel automatic wristwatch with annual calendar and dual time zone, Circa 2022","26,120 USD"
564,Rolex,"GMT-Master II 'Pepsi' Reference 16710, a stainless steel automatic dual time zone wristwatch with date, Circa 2004","15,560 USD"
565,Cartier,"Ballon Bleu de Cartier Reference WSBB0046, a stainless steel automatic wristwatch with bracelet, Circa 2020","4,500 USD"
566,Rolex,Rolex Day-Date Malachite Dial (Reference 128238). A yellow gold automatic wristwatch with day and date. 2021,"73,000 USD"
567,Hermès,"Arceau Reference AR6.790, a white gold mechanical wristwatch with skeletonized dial, Circa 2008","17,650 USD"
568,Patek Philippe,"World Time Reference 7130G-001, a white gold automatic wristwatch with world time, Circa 2012","42,000 USD"
